,region,area(m2),pop_15,pop_dens,num_protect,protect_ratio,cctv_total,cctv_kids
0,종로구,23913280,13592.0,0.5683871054075392,40,70.37457327839905,1925,38
1,중구,9959983,10662.5,1.070533955730647,33,30.82573871043376,1260,51
2,용산구,21866384,21699.0,0.9923451449494348,33,33.25455882759574,2379,179
3,성동구,16859343,32347.0,1.918639415545434,51,26.58133653816428,2554,381
4,광진구,17062949,34945.5,2.048034018035218,74,36.13221233062912,1228,162
5,동대문구,14215360,33819.5,2.379081500574027,72,30.26378036339981,1555,311
6,중랑구,18496071,38240.0,2.067466112127273,42,20.31472233263598,1053,55
7,성북구,24574349,48882.0,1.989147301521599,100,50.27279775786589,2221,350
8,강북구,23600102,28635.0,1.213342213520942,40,32.9667916884931,946,114
9,도봉구,20660965,33678.5,1.630054549726985,70,42.94334813011268,899,94
10,노원구,35437538,62119.0,1.752915227914535,106,60.47069379738888,1576,178
11,은평구,29711421,50927.5,1.714071501326039,73,42.58865510775122,2505,607
12,서대문구,17625638,31656.0,1.796020093003158,40,22.27146575688653,2705,216
13,마포구,23851343,41157.0,1.725563210423832,52,30.13508846611755,1743,134
14,양천구,17405710,58571.0,3.365045148976974,98,29.12293763125096,2498,755
15,강서구,41436853,67223.5,1.622311906746393,75,46.23032086993388,1202,228
16,구로구,20120106,45649.5,2.268849875840614,62,27.32662070778431,2746,445
17,금천구,13020260,21175.0,1.626311609752801,43,26.44019740259741,1526,207
18,영등포구,24548520,37166.5,1.514001658755803,66,43.5930830183095,1839,168
19,동작구,16354618,40604.5,2.482754412240017,66,26.58337839402036,1792,188
20,관악구,29568929,39656.5,1.341154425985466,66,49.2113351909523,3223,279
21,서초구,46983285,59134.0,1.258617825467078,73,58.00013198836541,1868,137
22,강남구,39501013,66444.0,1.682083444290403,101,60.04458360423816,4758,567
23,송파구,33872729,82324.0,2.430391717183461,90,37.03106761090326,1203,173
24,강동구,24590256,49516.5,2.013663460844002,90,44.69465814425495,1493,164
